question,answer
诸葛亮的性格特点是什么?,"诸葛亮治国治军的才能，济世爱民、谦虚谨慎，他是智慧的化身、忠贞的代表，并将其神化成了半人半神的超人形象
"
刘备的性格特点是什么？,"一是亲贤爱士，善待人才；二是生性善良，受民如子；三是待人宽厚，不求全责备。
"
关羽的性格特点是什么？,"义薄云天、武功盖世、蔑视权贵，目中无人、又是不忍欺凌弱小的真英雄。集忠于君，善与友，正义，武力，智慧，勇气，毅力，大志于一身。
"
曹操的性格特点是什么？,"陈寿认为曹操在三国历史上“明略最优”，“揽申、商之法术，该韩、白之奇策，官方授材，各因其器，矫情任算，不念旧恶”。曹操御军三十余年，但手不释卷，登高必赋，长于诗文、草书、围棋。生活节俭，不好华服。与人议论，谈笑风生。“勋劳宜赏，不吝千金；无功望施，分毫不与”。他是中国历史上第一流的政治家、军事家、文学家。但是，在《三国演义》中，曹操性格品德中这些好的方面被忽略了，而对他残忍、奸诈的一面又夸大了。因此，罗贯中笔下的曹操是奸诈、残忍、任性、多疑的反面人物典型。
"
周瑜的性格特点是什么？,"在《三国演义》中，周瑜成了诸葛亮的垫底人物。写周瑜，是为了抬高诸葛亮。因此，《三国演义》中的周瑜气量狭小，智谋也总是逊诸葛亮一筹，根本不像苏轼所歌颂的周瑜“雄姿英发”，是“千古风流人物”。 
"
赵云的性格特点是什么？,"骁勇善战，忠义侍主，处事谨慎
"
司马懿的性格特点是什么？,用兵谨慎，长于谋略，阴险奸诈孙权：智勇兼备，知人善任
诸葛亮主要的故事情节有哪些？,"火烧博望  火烧新野   赤壁大战   三气周瑜   夺取益州   八阵图困陆逊 七擒孟获  七擒七纵   六出祁     智取三郡   骂死王朗   雪夜破羌兵 
"
刘备主要的故事情节有哪些？,"讨伐黄巾，救董卓被辱，官封平原县；桃园结义；三顾茅庐得诸葛；讨伐黄巾；联马腾等密议除操，事败前，借兵讨贼，得豫州，由称刘豫州；觐见汉帝；得皇叔之名，于是有曹操煮酒论英雄；汉灭曹兴，刘备称帝；陆逊火烧连营七百里，刘备身死白帝城
"
关羽主要的故事情节有哪些？,"温酒斩华雄   挂印封金   千里走单骑   过五关斩六将    华容道释曹，水淹七军     单刀赴会   刮骨疗伤     败走麦城        温酒斩华雄
"
曹操主要的故事情节有哪些？,"误杀吕伯奢一家；投奔十八路诸侯；挟天子入许昌，自此挟天子以令诸侯；官渡之战大胜袁绍；赤壁大败，败走华容道；被马超追得割须弃袍；青梅煮酒论英雄；刺杀董卓；光脚迎许攸
"
周瑜主要的故事情节有哪些？,"三气周瑜  草船借箭  赤壁之战
"
马超主要的故事情节有哪些？,"袭击曹操；割须弃袍
"
夏侯惇主要的故事情节有哪些？,随曹操征讨黄巾军；领兵救援刘备，​攻击吕布；与高顺交战
描述一下张飞的形象,"玄德回视其人：身长八尺，豹头环眼，燕颔虎须，声若巨雷，势如奔马。
"
描述一下关羽的形象,"玄德看其人：身长九尺，髯长二尺；面如重枣，唇若凃脂；丹凤眼，卧蚕眉；相貌堂堂，威风凛凛。
"
描述一下曹操的形象,"为首闪出一将：身长七尺，细眼长髯；官拜骑都尉。
"
描述一下吕布的形象,"时李儒见丁原背后一人，生得器宇轩昂，威风凛凛，手执方天画戟，怒目而视。两阵对圆，只见吕布顶束发冠，披百花战袍，擐唐猊铠甲，系狮蛮宝带，纵马挺戟，随丁建阳出到阵前。
"
描述一下马超的形象,"只见一位少年将军，面如冠玉，眼若流星，虎体猿臂，彪腹狼腰；手执长枪，坐骑骏马，从阵中飞出。
"
描述一下诸葛亮的形象,"玄德见孔明身长八尺，面如冠玉，头戴纶巾，身披鹤氅，飘飘然有神仙之概。
"
描述一下赵云的形象,"忽见草坡左侧转出一个少年将军，飞马挺枪，直取文丑。公孙瓒扒上坡去，看那少年：生得身长八尺，浓眉大眼，阔面重颐，威风凛凛，与文丑大战五六十合，胜负未分。
"
我国古典文学名著《三国演义》中塑造了一个过五关斩六将、千里走单骑的英雄形象，这个英雄是谁？,"关羽  
"
《三国演义》中 “桃园三结义”是指哪三个人?他们各自的性格怎样? ,"刘备(忠厚善良、礼贤下士)、关羽（忠肝义胆、一身正气）、张飞（勇猛粗暴、嫉恶如仇）。 
"
"《三国演义》中哪两位人物青梅煮酒论英雄,他们各自的内心是怎样? ","曹操：故意试探刘备，看他是否能成大业，胸怀大志。 刘备：生怕自己被曹操看出破绽，竭力掩盖，内心恐慌。 
"
 “群英会中计”是哪部名著中的情节？谁中谁的计？两个人的性格怎样？ ,"设计者：周瑜；善使谋略、聪明机智。中计者：蒋干；自作聪明，败事有余。 
"
七擒孟获是那部古典名著的情节？是谁擒了猛获？为什么要七擒？ ,"是《三国演义》中的故事情节，是诸葛亮擒的孟获。共七擒七纵，是谈诸葛亮听从马谡的建议，征服心理，以求南方的长治久安。 
"
“巧授连环计”是哪部名著中的情节？”涉及哪两个人物？为什么要连环计？ ,"《三国演义》曹操、庞统，庞统献连环计表面上是为解决曹军不习水战晕船的难题，实际上是为周瑜火烧战船作准备。 
"
《三国演义》中“过五关斩六将”的是谁？斩了谁手下的六将？为何要过关斩将？ ,"关羽，斩了曹操手下的六将，因为这六人阻挡他寻找大哥刘备的去路。 
"
“草船借箭”是谁向谁借箭？这个“借”在文中具体指什么？ ,"答：周瑜设计陷害诸葛亮,诸葛亮将计就计趁大雾天扎草人攻打曹营，借来十万支箭，完成任务。 
"
你怎样评价《三国演义》中 “刘备三顾茅庐”? ,"答：表现了求贤若渴，礼贤下士的迫切心情和胸怀大志，不拘小节的宽广胸怀。 
"
《三国演义》中 “赔人夫人又折兵”的是谁? ,"周瑜
"
“鞠躬尽瘁，死而后已”的又是谁? ,"诸葛亮 。 
"
《三国演义》中，你最欢地的情节是什么?为什么? ,"关羽过五关斩六将。从中可见关羽对刘备的一片忠心。 
"
《三国演义》中 “三英战吕布”的 “三英”指哪三个人? ,"刘备；关羽 ；张飞。 
"
《三国演义》中有这样两段话： “譬犹驽马并麒麟，寒鸦配鸾凤耳”，无异周得吕望，汉得张良”，说此话者是谁？,"徐庶，被赞誉的人是诸葛亮。 
"
“丹凤眼，卧蚕眉，面如重枣，青龙偃月刀。”这一肖像描写写的是哪部小说中的哪个人物? ,"关羽。 
"
曹操说：“宁教我负天下，休教天下人负我”你怎么看待他的这种观点？ ,"反对这观点：因为这是一种以自我为中心的极端自私的人生观；或赞成这观点：要成大业就要在关键时刻忍痛割爱，不能有妇人这仁。 
"
杜牧《赤壁》诗中 “东风不与周郎便，铜雀春深锁二乔”的句子写的是哪一场战役?涉及到哪两个主要人物? ,"赤壁之战；曹操、周瑜。 
"
试举出《三国演义》中两例以少胜多的战役： 官渡之战 、赤壁之战,"作战的双方是：    曹操战袁绍 ，刘备、孙权战曹操    。
"
桃园三结义后，刘、关、张既与黄巾军作战的首领分别是？,"“天公将军”张角和“地公将军”张宝 。        
"
试举出《三国演义》中勇猛无比的人物？,"张飞、许褚、典韦。
"
建安时文坛上的“三曹”分别指？,"曹操、曹丕、曹植。
"
曹操曰“昔日当阳长坂英雄尚在！”这位英雄是？,"赵云。
"
赤壁之战曹操败于谁？,"周瑜。
"
“卧龙凤雏”分别是指?,"诸葛亮和庞统是《三国演义》中的人物，与他们各自有关的情节是：诸葛亮舌战群儒，庞统巧施连环计。
"
《三国演义》中教人制造木牛流马来搬运粮食的人是?,"诸葛亮。
"
诸葛亮最终牺牲的地点是？,"五丈原。
"
诸葛亮临终时将自己的用兵秘法都告诉给了谁？,"姜维。
"
请结合《三国演义》说出诸葛亮与周瑜联手指挥的一场著名的以少胜多的战役是？,"赤壁之战。
"
诸葛亮挥泪斩马谡的原因是?,"失街亭一事。
"
“太史慈酣斗小霸王”中的小霸王是?,"孙策。
"
“华容道义释曹操”的人是?,"关羽。
"
死于落凤坡的汉军著名的谋士是?,"庞统（凤雏）
"
请简述“桃园三结义”的故事。,"东汉末年，十常侍为奸，黄巾起义爆发，再加上连年灾荒，人民生活非常困苦。为抵抗黄巾起义，幽州太守刘焉出榜招兵，当时刘、关、张三人都去看了榜文。三人萍水相逢，但都有为国出力之心，所以一见如故，选定张飞庄后一桃园结义。三人焚香礼拜，对天宣誓结为异姓兄弟。
"
请简述张飞鞭打督邮的前因后果。,"刘备因平黄巾有功，当上了县尉，不久，朝廷派来了督邮巡查，刘备出城恭迎，而督邮态度傲慢，还诬刘备害民，扬言要免其官职，以此索贿。张飞酒后闻知此事很是生气，冲进去把督邮抓了出来绑在县衙门口的马桩上，扯下柳条狠打，打断了好几根柳条，并劝刘备杀死督邮，刘备不忍，释之，后挂印而去。
"
请简述吕布投靠董卓的故事。,"吕布原为丁原义子。董卓欲除丁原而惧怕吕布，便派李肃带着赤兔马和黄金、珠宝前去劝降。吕布见利忘义，在夜里提刀径入丁原帐中，杀之，砍下他的首级，投了董卓，并拜董卓为义父。董卓赐之金甲锦袍，封他为都亭侯。
"
请简述“孟德献刀”的故事。,"董卓欺主弄权，曹操借王允七星宝刀进府行刺。恰见其侧身于榻上，正欲刺杀，拔刀间，董卓见衣镜之中有刀光闪过，立即斥问曹操，曹操急中生智说：“我得一口宝刀，欲献恩相。”董卓接刀一看，果然是一口宝刀，后引曹操出阁看马。曹操谢道：“愿借马一试”。然后快马加鞭，逃之天天。
"
请简述曹操错杀吕伯奢的故事。,"（“捉放曹”）曹操欲刺董卓不成，骑马而逃。被中牟县令陈宫抓住，陈宫义释曹操并弃官与之同逃。后路遇曹操父亲的结义兄弟吕伯奢，其家人欲杀猪款待，曹操却误以为将要杀己，遂杀吕伯奢全家。恰路遇外出沽酒的吕伯奢，曹操又诈杀之。并声称：“宁可我辜负了天下的人，也不能让天下人辜负我。”陈宫愤怒地离曹而去。
"
请简述“温酒斩华雄”的故事,"董卓当权，把持朝政。袁绍率十八路诸侯讨伐董卓，汜水关守将华雄一连斩杀联军多员大将。关羽主动请缨，发誓胜不了华雄愿意受斩，袁绍嫌他地位低微，称其“安敢乱言”，喝令将其打出。而曹操觉得他是英雄，上前阻止，奉温好的美酒一杯壮行，关羽道：“酒且斟下，某去便来。”结果，瞬间拿了华雄的首级回营，此时酒尚未冷，诸侯惊讶不已。
"
请简述“三英战吕布”的情节。,"吕布在虎牢关斩杀多名联军大将。张飞抖擞精神；来战吕布。连斗五十余合，不分胜负。云长见了，把马一拍，舞八十二斤青龙偃月刀，来夹攻吕布，战到三十合，战不倒吕布。刘备掣双股剑，骑黄鬃马，也来助战。吕布力穷而退，诸侯大军一齐掩杀，吕布退还虎牢关。
"
请简述王允巧施连环计的情节。,"董卓为乱朝政，王允想剪除董卓，苦思不得其计，恰见义女貂蝉天姿国色，于是心生一计。先将其许给董卓的义子吕布，不久却把她送给董卓。吕布大怒，在凤仪亭与貂蝉相会，被董卓发现，貂蝉乘机离间董吕的关系。王允与吕布联合，诱使董卓离开长安，吕布杀死董卓。不久吕布被迫出走，而王允也被董卓部将杀死。
"
请简述董卓大闹凤仪亭的情节。,"吕布得知董卓纳貂蝉为姬妾，心怀不满。一日，吕布趁董卓入朝议事，入董卓府中，与貂蝉在凤仪亭相会。貂蝉假意哭诉被董卓淫污，不能复事吕布，为吕布受他人之制而遗憾，吕布满脸羞惭。董卓回府后被撞见，一怒之下抢过吕布的画戟，掷戟刺吕布，吕布大惊而逃。
"
请简述曹操大兴师要报杀父之仇的经过。,"曹操派人往琅琊郡接父亲曹嵩到兖州。曹家一行四十余人途径徐州，徐州太守陶谦欲结好曹操，遂设宴款待并派兵护送。不料所派之人竟是黄巾降将，他们杀死曹嵩一家，取了财物，逃窜他处。曹操大怒，于是发誓要向陶谦报杀父之仇。
"
请简述刘备北海救孔融的情节。,"黄巾军余党包围北海城。孔融派太史慈星夜求见刘备，刘备收到信件之后同关羽、张飞点精兵三千，往北海郡进发。关羽斩黄巾军余党首领管亥于马下。太史慈、张飞、刘备驱兵掩杀，城上孔融也驱兵出城，两下夹攻，余党溃散，解了北海之围。
"
请简述陶谦三让徐州的情节。,"曹操为报父仇发兵攻徐州，刘备引兵相救，太守陶谦命糜竺取徐州牌印，让与刘备，刘备推辞。曹操退兵后，陶谦设宴招待众人，席间陶谦及部署再让徐州，刘备仍是执意不肯。不久，陶谦病重，临死前第三次让徐州，刘备终是推托。结果，陶谦以手指心而死，后徐州军队和百姓拥立刘备，刘备乃领徐州牧，答应屯军小沛。
"
请简述曹孟德挟天子以令诸侯的故事。,"汉献帝被李傕、郭汜所逼，逃往洛阳，下诏请驻扎在兖州的曹操前来洛阳保驾。曹操采纳了苟彧的建议，率领大军来到洛阳，击败前来劫驾的李傕、郭汜。这时董昭向曹操提议，把都城迁到许都（即许昌），因为那里距曹操的根据地较近。于是曹操上表请献帝迁都，献帝移驾许都，曹操自封大将军，并封赏部下。自此曹操挟天子以令诸侯，大权尽掌于曹操之手。
"
请简述张飞醉打曹豹，吕布乘夜袭徐州的故事。,"刘备起兵讨伐袁术，派张飞守徐州城，张飞不听刘备吩咐，醉酒鞭打吕布岳父曹豹，曹豹深恨张飞，连夜差人写信给吕布。吕布派兵与曹豹里应外合，攻下徐州。张飞正醉卧府中，准备不及，引数十骑，逃出徐州。吕布占领徐州，并软禁刘备家眷。
"
请简述吕布辕门射戟的故事。,"袁术派纪灵攻打刘备，并送吕布粮草和迷信，要他不救刘备。刘备写信向吕布求救，吕布设宴调解。吕布将方天画戟插在辕门外一百五十步处，并说如果射中画戟小枝，两家罢兵；射不中，则两家厮杀。结果吕布辕门射戟应声而中，避免了一场厮杀。
"
请简述典韦之死的情节。,"宛城之战中，张绣用贾诩之计夜袭曹营，先让人将典韦灌醉，再命人偷了典韦的短戟，致使典韦在掩护曹操出逃之时，身无片甲。虽奋力以腰刀砍杀二十余敌，终因寡不敌众，中枪大叫数声而死。死后半晌，尚无一人胆敢进入。曹操获悉痛失典韦后自称比失去了长子和侄儿还要悲痛。
"
请简述曹操小斗散粮的情节。,"攻打袁绍期间，曹军远道而来，又逢荒旱，粮食接济不上。管粮官询问曹操。曹操便叫粮官王垕改用小斛分发军粮。接着曹操暗暗派人探察士兵情况。当发现激起众怒时，他一刀杀死王垕，借王垕的人头来压军心，众怒始解。
"
请简述曹操割发代首的故事。,"曹操征张绣途中，恰逢稻麦成熟，为显示爱民之心，曹操下令要求众将士不准纵马毁麦。没想到禁令刚下，曹操的马受惊跑入麦田，踏毁麦田。此时，曹操假意叫来行军主簿，要求议罪。谋士郭嘉为其开脱, 曹操顺水推舟，割发代首以示众人。
"
请简述“夏侯惇拔矢啖睛”的故事。,"夏侯惇与吕布手下高顺的军队相遇。高顺败下阵来，夏候惇绕着军阵追他。高顺阵上有个叫曹性的将领看见，暗地拈弓搭箭，一箭射中夏侯惇左目。夏候惇用手拔箭，不想连眼珠拔出，于是大呼曰：“父精母血，不可弃也！”于是便将眼珠纳于口内啖之，仍复挺枪纵马，直取曹性。曹性不及提防，早被一枪搠透面门，死于马下。
"
请简述刘安杀妻供食的故事。,"刘备被吕布所败，逃命途中，投宿猎户刘安家刘安无野味供食，乃杀其妻以食之，假言狼肉，后刘备洒泪上马时，刘安告以“本欲相随使君，因老母在堂，未敢远行”后刘备告之曹操，操令人以金百两赐刘安。
"
请简述“白门楼吕布殒命”的故事。,"下邳城失陷后，吕布被缚至白门楼。吕布恳请刘备在曹操面前说情，刘备点头示意。吕布对曹操表示降服，曹操问刘备“何如”，刘备以吕布认丁原和董卓为义父而又杀之为例，劝曹操杀掉吕布。吕布大骂刘备“大耳儿”。曹操令将吕布缢死，然后枭首。
"
请简述“曹阿瞒许田打围”的情节。,"曹操想通过许田打围来考查朝廷内外的反应。在打围的过程中，汉献帝连射三箭不中，曹操讨天子宝雕弓、金鈚箭射之，正中鹿背。群臣以为天子射中，涌向献帝高呼“万岁”。曹操纵马直出，遮于天子之前以迎受之。众皆失色。云长欲斩曹操，被刘备及时制止。
"
请简述曹操煮酒论英雄的情节。,"曹操派人请刘备到小亭煮青梅喝酒。曹操问刘备当事英雄是谁，刘备说了几个人，都被否定。刘备反问曹操，曹操说：“今天下英雄，惟使君与操耳！”刘备惊得手中的筷子掉在地上。突然天下大雨，雷声大作，刘备说是因为好怕打雷，才掉了筷子。曹操认为刘备胆小如鼠，再也不疑刘备了。
"
请简述曹操煮酒论英雄的情节。,"刘备寄于曹操篱下，以种菜掩人耳目。一日，曹操请刘备坐饮畅谈。曹操问天下谁是英雄，刘备答了袁绍等人的名字，曹操只是摇头。操说“天下英雄，惟使君与操耳”。刘备闻言大为吃惊，匙箸落地。此时雷声大作，刘备借雷声掩饰吃惊，使曹操认为其胆小如鼠，不复怀疑。
"
请简述祢衡击鼓骂曹的情节。,"曹操欲使人劝说刘表归顺，孔融荐祢衡。曹操见之，不加礼，祢相讥，又批斥其人才。曹操恼怒，命其为鼓吏以辱之。祢衡于宴上裸衣击鼓，痛骂操。操不愿负杀戮贤士之名，遂遣之。祢衡在众人的劝说下奔赴荆州。至荆州祢又讥讽刘表，
"
请简述张飞设计劫寨中计的情节。,"曹操进攻刘备，张飞向刘备献计劫曹寨。这本是妙计，哪知那天刮东南风，曹军牙旗被风折断，根据这个先兆，荀彧等人料定有人劫寨，于是设下埋伏，张飞中计，只得带兵向芒砀山逃去。
"
请简述屯土山关公约三事的情节。,"曹操率军征讨刘备，刘备投奔袁绍，关羽被曹操围困在土山之上。操使张辽前往说之。辽具说关公拼死有三罪，降操有三利。关公亦有三约：降汉不降曹；礼待二嫂；一旦得知刘备下落，便当辞去。操从其言。关公告甘、糜二夫人后降操。
"
请简述关云长挂印封金的情节。,"关羽得知刘备在袁绍处，到相府辞别曹操，曹操为了挽留关羽，假托有病，挂壁客牌不见客人。张辽也托病不出。关羽无奈，只得留下书信一封，辞别曹操。将曹操所赐金银，一一封在府库中，分毫未动，汉寿亭侯之印挂在堂上。关羽喝退门吏，带上嫂嫂，去寻刘备。
"
请简述关羽千里走单骑过五关斩六将的故事。,"关羽得知刘备在袁绍处，于是带着甘糜二夫人去寻刘备。但因为没有曹操的公文，各关守将均不敢通行，于是关羽就保护二位嫂嫂，千里走单骑，勇闯东岭、洛阳等五座关口，斩了孔秀、韩福、秦琪等六员守将，夺下渡船，过了黄河，一路追寻刘备。
"
请简述身在曹营心在汉的故事。,"（这一典故常用来比喻人在某一方挂职，心却向往另一方。）刘备兵败投袁绍，关羽被曹操所俘，曹操礼遇甚厚，拜为偏将军，封为汉寿亭侯，但关羽身在曹宫心在汉，“降汉不降曹”。为报曹操知遇之恩，他杀颜良，诛文丑，解曹军白马之围，但绝不能背叛刘备。后来，关羽打听到刘备下落，拜书告辞曹操，“千里走单骑”，“过五关斩六将”，终于找到刘备。
"
请简述斩蔡阳兄弟释疑的情节。,"关羽行至芒砀山，听说张飞的消息，十分高兴。立即前往古城会见张飞。张飞以为关羽负义投降了曹操，只接嫂嫂，却攻关羽。忽然，蔡阳追兵又到，为表真心，关羽砍死蔡阳，兄弟俩方才消除了误会。
"
请简述许攸问粮的情节。,"官渡之战前夕，许攸为袁绍所逼而投奔曹操。曹知许来投，跣足出迎，还先拜于地。攸说明来由，并问曹军军粮多少。操先答可支一年后改口半年，攸拂袖出帐，操为挽留攸曰“三月耳”，攸笑操果为奸雄。操就附耳说只有此月粮。攸大声道“粮已尽矣”，操愕然。而后，攸出谋取乌巢，使曹军以少胜多，打败袁绍。
"
请简述官渡之战的情节。,"袁绍率十万大军进驻官渡，企图消灭曹操的军队。谋士许攸遭疑投降曹操，并且提供了许多情报。曹操得知袁绍在乌巢囤积了大量粮草，立即亲率精锐军队连夜奔袭乌巢。袁绍只派少量骑兵救援乌巢，仍然留主力进攻官渡。由于乌巢粮草被烧光，袁军上下恐慌，官渡前线的大将亦投降曹操。
"
请简述曹操仓亭破袁绍的情节。,"程昱献“十面埋伏”之计，劝曹操退军于河上，伏兵十队引诱袁绍追至河上，曹军背水死战，必将取胜。曹操从其计，左右各分十队，次日埋伏已定。至半夜伪作劫寨之势。袁绍拔寨而走，在仓亭附近，处处有埋伏，袁军大败，只得引袁尚等回冀州养病。
"
请简述许攸献计夺冀州的情节。,"袁绍死后，其子袁尚兵退冀州。为助曹操夺取冀州，许攸献计，令曹操决漳河之水淹城。守城审配闻此仅是暗笑，不作防备。不想，当夜，曹操添十倍军力并力发掘，等到天亮，竟挖出两丈深的战壕。然后引漳河水灌之，水淹冀州。以致城内弹尽粮绝，军士饿死殆尽。（３分）终而被曹军攻破，审配被斩，陈琳投降。
"
请简述许攸之死的情节。,"许攸居功自傲，口出狂言后，曹操大笑。众将闻言，俱怀不平。一日，许褚骑马入东门，正遇许攸，许攸对他说：“汝等无我，安能出入此门乎？”许褚大怒，拔剑杀许攸，提头来见曹操。曹操深责许褚，令厚葬许攸。乃令人遍访冀州贤士。
"
请简述刘备之“髀肉复生”的故事。,"刘表邀刘备荆州相会。席间，刘备反对刘表废长立幼，自觉语失，起身如厕。因见髀肉复生而潸然流涕。刘表怪之，刘备解释说是因为久不骑马，导致髀里肉生，又感慨老之将至，功业未建。刘表以“煮酒论英雄”之事安慰刘备，不料刘备竟乘酒兴失口言说天下碌碌之辈，不足为虑。刘表默然。
"
请简述刘皇叔跃马过檀溪的故事。,"刘表夫人蔡氏听到刘备反对刘表立幼子为继承人，遂与其弟蔡瑁密谋，以刘表名义在襄阳设宴欲害刘备。宴上，荆州幕宾伊籍将蔡氏阴谋密报刘备，并引其从西门逃脱。蔡瑁闻讯，追至檀溪，刘备纵马下溪，马前蹄忽陷。刘备大呼“的卢，的卢，今日妨吾”，马遂纵身而起，跃过檀溪。刘备脱险。
"
请简述刘备治理新野的故事。,"刘备受命屯驻新野长达七年之久，在此期间，刘备对自己的政治生涯进行了认真的反思，并接受“水镜先生”的批评，更加重视争取民心，为重新崛起准备条件。他以安民为务，因此“军民皆喜，政治一新。”新野百姓欣然讴歌道：“新野牧，刘皇叔；自到此，民丰足。” 
"
请简述元直走马荐诸葛的故事。,"徐庶之母被曹操取许都，程昱诈称与徐庶结为兄弟，仿徐母字叫徐庶归曹。徐庶接信后念母，与刘备别，刘备置酒饯行，泣留不肯相离，送了一程又一程。徐庶匆匆离去。后因树林隔断视线，刘备命尽伐之，以免阻挡自己望徐庶之目。忽徐庶拍马而回，荐诸葛亮后再别刘备，之后刘备便有三顾茅庐之美谈。
"
请简述徐庶进曹营——一言不发的情节。,"谋士徐庶曾经辅佐刘备大胜曹操。后来，曹操捉得其母，并伪造徐母亲笔信，将徐庶骗去许昌。徐母得徐庶为尽孝而离开刘备后，痛斥徐庶，并上吊身亡以绝徐庶尽孝之念。从此，身在曹宫的徐庶便践行离别刘备的誓言，终身不为曹操设一谋。
"
请简述三顾茅庐的情节。,"由于徐庶的推荐，求贤若渴的刘备便带关羽、张飞三次前往隆中拜访诸葛亮。第一次，小僮说诸葛亮外出。第二次，刘备他们冒雪来访，只见到诸葛亮的弟弟。备留信表敬慕之情。第三次，诸葛亮正在睡觉，刘备拱手立于阶下一直等到诸葛亮睡醒。诸葛亮为刘备的诚心所感动，终于答应出山。
"
请简述“隆中对”的内容。,"曹操挟天子以令诸侯，占着天时；孙权据有江东，占着地利；而刘备帝室之胄，信义著于天下，总揽英雄，思贤若渴，可占人和。应当先取荆州为家，后取西川建基业，采取据蜀、联吴、抗曹的策略，成鼎足之势，然后可图中原。
"
请简述火烧博望坡的情节。,"三国前期，势力强大的曹操，统一北方之后南下攻打刘备。此时刘备投靠刘表，驻在新野。曹操派大将夏侯惇进攻新野。这时刘备已经请出了诸葛亮。诸葛亮在博望坡设下埋伏，令赵云去诱敌深入，然后火攻。夏侯惇果然中计。大败而归。这是孔明出山后打的第一仗。
"
请简述火烧新野的情节。,"火烧博望坡之后，曹操派曹仁和曹洪大军进攻新野。诸葛亮料新野呆不了，就留下空城，民房屋上藏硫磺等引火之物。曹军未知是计，造饭安歇。夜里狂风大作，埋伏在城外的刘备军往城里射火箭。军士飞报火起，曹仁还言是造饭不慎所致。大火迅速烧起来。曹兵逃奔出城，被刘备军截杀，大败而归。
"
请简述刘备携民渡江的情节。,"当曹操亲率大军南征荆州，刘备被迫向襄阳撤退，新野、樊城之民“虽死，亦愿随使君！”于是，刘备不顾众将反对，坚持认为“举大事者必以人为本。今人归我，奈何弃之？”他沿途收留难民，扶老携幼，含辛茹苦，上演了“携民南行”的悲壮一幕。如此撤退，显然有违于“兵贵神速”的军事原则，便却使刘备赢得了民心。
"
