question,answer
简述《三国演义》中的一个精彩的战斗场面。,"三英战吕布。吕布在虎牢关斩杀多名联军大将。张飞抖擞精神，来战吕布。连斗五十余合，不分胜负。云长见了，把马一拍，舞八十二斤青龙偃月刀，来夹攻吕布。战到三十合，战不倒吕布。刘备掣双股剑，骤黄鬃马，刺斜里也来助战。吕布力穷而退，诸侯大军一齐掩杀，吕布退还虎牢关。
"
《三国演义》中哪个场面最能让人发出“出师末捷身先死，长使英雄泪满天襟！”的感叹？请简要概括。,"秋风五丈原。诸葛六次出兵祁山，司马懿坚守不战。诸葛亮派人侮辱，司马懿不为所动。不久诸葛亮病危。穰星不成，遂将平生所学传授给姜维，并作好身后的军事安排。尚书李福赶到，诸葛亮推等蒋琬、费袆相继为丞相继承人后死去。时年五十四岁。是夜，天愁地惨，月色无光。
"
结合具体的情节思考赤壁之战中为什么孙刘联军能以弱胜强？,"天时胜：刘备汉室宗亲，操乃汉贼。曹军流行疾病。东南风起。地利胜：南方多江湖，北军不善水战。人和胜：曹操骄傲，心气浮躁。荆州新降，人心未附，士气低落。孙刘背水一战，决心很大。周瑜、诸葛亮等人计谋精妙，处处占先。
"
结合具体的情节思考刘备为什么会在夷陵之战中败结陆逊？,"天时：曹丕篡汉，刘备汉室宗亲，不讨贼而攻吴，政治不利。当时天气干燥。地利：刘备孤军深入，不谙地势。于森林茂盛处扎营，给陆逊可乘之机。人和：刘备不听诸葛亮赵云之计，内部不和；枉自托大，小看陆逊；不听黄权劝告，一意深入。而孙权结盟曹丕，上下精诚团结。陆逊一时人杰。
"
简述《三国演义》中一个与数字“三”有关的故事。,"刘玄德三顾茅庐。由于徐庶的推荐，刘备、关羽、张飞三次前往隆中拜访诸葛亮。第一次小僮说诸葛刚外出远游。第二次刘备只见到诸葛均，就留下一封信表达敬慕之情， 然后冒雪回去。第三次恰好诸葛亮在午睡，刘备一直等到他睡醒更衣后才得以相见。诸葛亮被刘备求贤若渴的诚心感动，最终答应出山共图大业。
"
简述《三国演义》中一个与数字“三”有关的故事。,"诸葛亮三气周瑜。孙刘联合破曹。周瑜气量狭小，多次设计害诸葛而不得。周瑜在孙刘破曹战中受伤，被孔明调赵子龙先夺城池，周瑜怒火攻心；周瑜孙权用美人计骗刘备至吴，企图谋害，被孔明识破，周瑜赔了夫人又折兵；周瑜欲突袭荆州，诸葛亮将计就计，打败周瑜。周瑜被气死前大呼：“既生瑜，何生亮!”
"
简述《三国演义》中一个与数字“三”有关的故事。,"刘、关、张桃园三结义；
"
简述《三国演义》中一个与数字“三”有关的故事。,"刘、关、张三英战吕布；
"
简述《三国演义》中一个与数字“三”有关的故事。,"陶谦三让徐州； 
"
简述《三国演义》中一个与数字“三”有关的故事。,"土屯山关公约三事；
"
简述《三国演义》中一个与数字“三”有关的故事。,"荆州城公子三求计；
"
简述《三国演义》中一个与数字“三”有关的故事。,"诸葛亮智取三城亦可。
"
简述诸葛亮尽忠的一个例子。,"刘备称帝后伐吴，在夷陵之战中被陆逊击败，退守到白帝城。从此刘备一病不起。临终将其儿子刘禅托孤于诸葛亮，诸葛亮哭着答应：“臣怎么敢不竭尽全力，辅助幼主，鞠躬尽瘁，死而后已呢？”后来，尽管刘禅很不成器， 但诸葛亮还是尽力辅佐，真正做到了“鞠躬尽瘁，死而后已”。
"
简述《三国演义》中“失街亭”这一情节中诸葛亮、马谡所表现出来的性格缺陷。,"诸葛亮足智多谋，对街亭布防十分细致周密，但世人不深、用人不当，不听刘备生前劝告，致使街亭失陷全局被动。马谡虽能自动请缨，挺身而出，但只会纸上谈兵，而且麻痹大意，刚愎自用，目中无人，公然违令，不听王平之劝，草率从事，致使蜀军咽喉之地迅速丢失，造成全局被动。
"
马谡拒谏失街亭后，诸葛亮作了那几件事情表明了他能够明证军法， 奖罚分明？,"一、欲赠金五十斤给赵云，赏绢一万匹给赵云的部卒，来表彰赵云在街亭之战中不折一人一骑，不丢辎重的功劳。二、虽有蒋琬等人的劝阻，仍将自己平日一贯倚重且关系甚好的马谡斩首，以明军令。三、上表刘禅，承认用人之失，要求自贬三等。
"
简述一下王允连环计。,"董卓为乱朝政。司徒王允先将美貌的义女貂蝉许给董卓的义子吕布，不久却把她送给董卓。吕布大怒，在凤仪亭与貂蝉相会，被董卓发现，貂蝉乘机离间董吕的关系。王允与吕布联合，诱使董卓离开长安，吕布杀死董卓。不久吕布被迫出走，而王允也被董卓部将杀死。
"
简述一下曹操抹书间韩遂,"曹操想要除掉武艺超群的马超，于是就给韩遂写了封信，将信中的一些“紧要处” 用笔涂掉。信中的那些涂抹引起了马超的怀疑，他认为韩遂与曹操之间有秘密交易。后来曹操又使用其他小手段加深了马超的疑心，终于马韩反目成仇，并大打出手，曹操坐收渔利。
"
简述一下锦囊妙计：,"孙权用公瑾之计，引刘备入东吴招亲，要挟刘备交还荆州。诸葛亮在他临行前交给赵云三个用锦做成的袋子，吩咐说：“内封三条神妙计策，到时依次打开行事。”赵云和刘备、孙乾率五百军士到南许，依锦囊妙计破了公瑾计策， 娶了孙权之妹孙尚香逃回荆州。让东吴“赔了夫人又折兵”。
"
简述一下巧献连环,"赤壁之战前，蒋干极力推荐庞统去见曹操。曹操正为不习水性的北方士兵晕船生病发愁，向庞统求教。庞统有心让东吴与刘备取胜，于是建议把船只大小搭配，用铁链锁住连环，上铺宽木板，这样能让船上的兵马如履平地。曹操立即传令铁匠连夜打造连环大钉，锁住船只。
"
简述一下郭嘉遗计定辽东,"众将请令攻辽东，曹操依计按兵不动。数日之后，公孙康带着袁熙、袁尚的首级前来投降，辽东归操所有。原来郭嘉遗书上写：二袁投辽东，不可出兵； 公孙康一直害怕会被二袁吞并，二袁前去投靠，他必有疑心。若出兵，必联合抗击；若不出兵，必自相残杀。
"
简述一下木牛流马,"诸葛亮六出祁山，司马懿兵屯渭水，两军相拒，蜀军粮草接济不便，诸葛亮在上方谷造木牛流马运送粮草。司马懿派兵夺得木牛流马，命营中工匠依样仿造，也用于搬运粮草，不料中计，被蜀军劫去，司马懿大怒，率兵追杀，却遭蜀军埋伏，险些丧命。
"
简述一下诈病夺权,"曹爽派人到政敌司马懿家拜访，探听虚实。司马懿装得老态龙钟，耳聋眼花，喝汤洒满衣襟，讲话口齿不清。曹爽以为他危在旦夕，对他丧失了警惕。当曹爽跟随小皇帝曹芳出洛阳城，祭扫曹叡陵墓。司马懿趁机发动政变，逼迫曹爽交出权力，随即将其杀死。
"
阅读《三国演义》四十五回《群英会蒋干中计》的片断，回答问题。“周瑜正在帐中议事，闻干至，笑谓诸将曰：“说客至矣。”遂与众将附耳低言，如此如此。众将应命而去。”周瑜的 “如此如此”就是对“反间计” 的部署，请简述一下“如此如此”的主要内容和结果。,"答：周瑜先点破蒋干“说客”身份，让蒋干无法“劝降”，而后大摆酒席，佯狂大醉（2 分）；醉后邀蒋干同榻而眠，以让蒋干有机会偷听机密，并偷走所谓曹军将领蔡瑁、张允的“降书”，逃回曹营（2 分）。最后，生性多疑的曹操果然中计，杀了蔡瑁、张允。（1 分）
"
下列文字选自《三国演义》第五十回：周瑜急急下得船时，岸上军士齐声大叫曰：“周郎妙计安天下，赔了夫人又折兵！”周郎的“妙计”是什么？又为何“赔了夫人又折兵”？请简要叙述。,"答：“妙计”是指：东吴孙权要向蜀索回荆州，都督周瑜定计，谎称欲将孙权妹妹嫁给刘备，借以把刘备骗到东吴作人质，以便索回荆州。（3 分）“赔了夫人又折兵”即刘备按诸葛亮的对策行事，到东吴成婚后偕同夫人逃出东吴。周瑜带兵追赶，被诸葛亮的伏兵打败。（2 分）
"
曹操误杀其父结义兄弟吕伯奢家人后，又故杀吕伯奢。其原因是担心吕伯奢一家出卖他，从而难逃董卓的追杀。而董卓追杀他的原因则是他行刺董卓未成。请简述曹操行刺董卓的过程。,"答：曹操借得王允七宝刀后就到相府找董卓，以“马羸行迟”为由调开侍立其侧的吕布（2 分）。在董卓不耐久坐倒身而卧时，拔刀行刺，不料被董卓从衣镜中看到，且此时吕布也已牵马回来（2 分）。曹操慌忙诡称欲献七宝刀，趁董卓一时未疑之机，骑上西凉马逃之夭夭（1 分）。
"
简述《三国演义》中关羽“刮骨疗毒”的故事。,"答：水淹七军之后，关羽攻打樊城，在樊城下骂阵。曹仁命令弓箭手射箭，关羽右臂中箭，回兵。（1 分）箭头有毒，毒已入骨，于是请来了曾经为周泰疗伤的名医华佗。（1 分）华佗说要割开皮肉，把骨头上的毒刮去，这会极其疼痛，请关羽把手臂套住绑紧，把头蒙住。（1 分）关羽却说不用，一边和马良下棋，一边伸手刮骨，谈笑中没有丝毫痛苦的神色。（1 分）事毕，两人互相惊叹，关羽称赞华佗的医术高明，华佗赞叹关羽的勇气毅力。（1 分）（即：中箭、请医、华佗疗法、关羽表现、互赞五部分各一分）
"
“匹马斩颜良，河北英雄齐丧胆；单刀会鲁肃，江南子弟尽低头。”这副对联道出关羽一生中最得意的两件事。请简述“单刀会鲁肃”的情节。,"答：鲁肃邀关羽赴宴，企图讨还荆州。关羽明知是计．单刀从容赴会。鲁肃提起归还荆州事，关羽假醉推托，借故离席，右手提刀，左手挽住鲁肃，向江边走去。东吴众将迫于鲁肃受制，不敢出击。关羽登上自己的船，才放鲁肃，鲁肃吓得魂不附体。
"
简述死诸葛吓走活仲达,"孔明积劳成疾，六出祈山时在五丈原病逝，姜维遵其遗命，不敢举丧，而是率部缓缓撤退。当司马懿引兵追到时，蜀军推出端坐车上的孔明木偶像，司马懿看了，以为孔明还活着，大惊失色，急忙退兵，过了两天才知道真情的真相。
"
简述三国归晋,"魏军到达蜀都城下，刘禅向邓艾开门归降，蜀国灭亡。司马昭中风死后，儿子司马炎逼迫曹真禅位，当了皇帝，国号为晋，魏国宣告灭亡。吴国孙皓即位后，凶暴昏庸。司马炎起兵伐吴，吴军全面溃败，孙皓效法刘禅，开门归降。至此，三国归晋，天下统一。
"
《三国演义》中刘备为报兄弟之仇，领兵伐吴，挥师东进，连连告捷，危急之中，东吴将领阚泽以全家性命担保力荐一人，这人是谁？他在接下来战役中有何出色表现？,"答：这人是陆逊。阚泽向孙权推荐陆逊，陆逊总督东吴兵马，以静制动，等待破蜀良机。由于天热难耐，刘备让蜀兵避暑林中，犯了兵家大忌。陆逊见时机已到， 调动各路兵马一起行动，火烧蜀军边营，刘备损兵折将，全面溃败，幸亏赵云救驾，才逃到白帝城。
"
《三国演义》中有不少广为流传的成语典故，“望梅止渴”就是其中一例。请简述“望梅止渴”的情。,"答：曹操带兵攻打张绣，行军路过一片荒凉的干旱地区，将士们又累又渴。此时， 曹操灵机一动，告诉将士说：“前面有一片梅林，梅树结满了梅子。”一想到梅子，将土们嘴里就流出了口水，都加快了步伐。走出了干旱之地，将士们虽没见到梅林，但已经不渴了。
"
(关公)书略曰：“羽少事皇叔，誓同生死；皇天后土，实闻斯言。前者下邳失守，所请三事，已蒙恩诺。今探知故主现在袁绍军中，回思昔日之盟，岂容违背?新恩虽厚，旧义难忘。兹特奉书告辞，伏惟照察。其有余恩未报，愿以俟之异日。”关羽“异日”如何报答曹操的“余恩”，请简述其经过。,"答：赤壁之战时，关羽在诸葛亮面前立下军令状，带兵守华容道（1 分）。后来， 曹操果然败走华容道，并亲自上前向关羽求情，面对狼狈不堪的旧日恩人，关羽陷于理智与情感的巨大冲突之中（2 分）。几番犹豫之后，关羽还是体现出自己“重义”的一面，把马头勒回，让众军“四散摆开”，不顾军令放走曹操，报答了余恩（2 分）。
"
请简要叙述刘备白帝城托孤的情节。,"答：刘备称帝后伐吴，在夷陵之战中被陆逊击败，退守到白帝城。从此刘备一病不起。临终将其儿子刘禅托孤于诸葛亮，诸葛亮哭着答应：“臣怎么敢不竭尽全力，辅助幼主，鞠躬尽瘁，死而后已呢？”后来，尽管刘禅很不成器，但诸葛亮还是尽力辅佐，真正做到了“鞠躬尽瘁，死而后已”。
"
曾经在十八路诸侯伐董卓做过总盟主的是?,"袁绍,字本初"
"曹操曾把他手下一大将比作“吾之樊哙”,这位大将军是谁?",许禇
"曾经镇守在长沙,日后成为西蜀五虎上将中的一员,他是谁?",黄忠
"许诺刘备,虽身在曹营,但“终身不设一谋”的谋士是谁?",徐庶
"曾对诸葛亮用计“上楼抽梯”,而求活命之术的是谁?",刘琦
"吕布曾被张飞大骂“三姓家奴”,原因是他拜了哪两位做义父?","丁原,董卓"
除了孔明外还使用过“空城计”的蜀将是谁?,赵云
诸葛亮一生善于使用火攻，他初出茅庐的第一把大火火烧了哪里?,新野博望坡
"官渡之战,袁绍的一位谋士因不满袁绍而投降了曹操,他献计偷袭乌巢导致了袁军大败.他是谁?",许攸
抬榇战关羽的魏大将是谁?,庞德
在两军阵前被诸葛亮骂死的北魏司徒是谁?,王朗
"被主公称呼为:""古之恶来""是谁?",典韦
"""闻曹丞相文不明孔孟之道，武不达孙吴之机，专务强霸而居大位，安能有所教诲，以开发明公耶?""这句话是谁说的?",张松
"三国中号称""白马将军""的是谁?",公孙瓒
"孔明入川时,设计擒张任,这个计策是?",十面埋伏
"""不得慕虚名而处实祸""出自谁言?",曹操
"""文若才华天下闻,可怜失足在权门.后人休把留侯比,临没无颜见汉君""描述的是谁?",荀彧
曹操欲杀荀彧，便派人送其一物，彧会其意，遂服毒自尽.此为何物?,空食盒
三国时期的江东属于哪个州?,扬州
三国时期的台湾称作?,夷州
群英会里面谁被周瑜用来吓唬蒋干的?,太史慈
"战长沙,黄忠之前出马战关羽的是谁?",杨龄
"刘表死时,次子刘琮几岁?",14岁
"刘备携民渡江时,依次经过哪几个城市?",新野-樊城-襄阳-江陵
“白发居西蜀，清名震大邦。忠心如皎月，浩气卷长江。宁可断头死，安能屈膝降。巴州年老将，天下更无双。”这是指谁?,严颜
带领藤甲兵帮助孟获的南蛮将领是谁?,兀突骨
"八门金锁阵的八个门当中,除死门外,还有哪个门入则亡?",杜门
黄巾军起义首领天公将军、地公将军、人公将军分别对应指谁?,"张角,张宝,张梁"
黄巾军起义首领天公将军、地公将军、人公将军分别对应指谁?,"张角,张宝,张梁"
张飞被那两贼刺杀?,"范疆,张达"
曹操戎马一生，有一回两军对峙中忽大笑“事成矣”，属下问其故，曰：“胜一人难，胜二人易”。问：曹操话中所指为哪二人?,"韩遂,马超"
曹操拥戴汉献帝是根据其属下“逢天子以令不臣”的政策;而哪位君主的属下才真正提出过“挟天子以令诸侯”的政策?,袁绍
三国志作者陈寿对于诸葛亮的一句总评是什么?,治世之才胜于韬略
"人皆知诸葛亮的三分天下论;可东吴当时也有一人提出过三分天下论,此人是谁?",鲁肃
赵云从谁的手中夺走了青虹剑?,夏侯恩
张飞在当阳桥的一声大吼镇死了谁?,夏侯杰
曹操手下猛将夏侯渊死在哪个地方?,定军山
"诸葛亮的儿子诸葛瞻和刘禅的关系除了君臣之外,还有什么关系?",翁婿
曹操在三国演义中初次出现的时候，是何官职?,骑校尉
吴国的末代君主是谁?,孙皓
"袁术称帝时,立谁为皇后?",冯方女
三国建立的顺序,称帝是?
南华老仙给张角的书是?,太平要术
诸葛亮火烧博望坡时，谁和谁诈败诱敌?,赵云刘备
"袁绍派人杀田丰,是听了谁的话?",逢纪
"谁杀了高览,又与张郃大战三十回合,打败张郃?",赵云
"曹操与袁绍军战于白马,颜良连斩曹军二将,这二将是谁?","宋宪,魏续"
赤壁之战中，黄盖冲过来杀曹操，是谁一箭射黄盖落水救了曹操?,张辽
"吕布有二妻一妾,妻为严氏、曹氏、妾据说为貂蝉,哪位夫人为吕布生了一个女儿?",严氏
"有一位谋士,分别辅佐过董卓、李傕、张绣、曹操，智谋过人,这位谋士是谁?",贾诩
夏侯惇被吕布手下的哪位将领射瞎了左眼?,曹性
凌统的父亲是被谁杀死的?,甘宁
"为平黄巾起义,关羽于大兴山下力斩何人?",陈远志
三国魏军八虎骑,又称曹八将是哪些人?
吴国名将甘宁死于何人之手?,沙摩柯
藩王沙摩柯所用兵刃为何物?,铁蒺藜骨朵
孙坚手下四将中.哪位是辽西令支人?,韩当
普净在哪个寺给关羽暗示秦琪埋伏?,镇国寺
"荀彧与荀攸是曹操的两位重要谋士,请问他们是什么关系?",叔侄
"官渡之战中,是谁敬献了""发石车""图纸.使袁绍军不敢""登高射箭""?",刘晔
"""青梅煮酒论英雄""一段中,刘备曾向曹操试言一英雄曰:""此人名称八俊,威镇九州"".请问曹操是如何评价这个人的?",操曰：“刘表虚名无实，非英雄也。”）
"曹操破宛城时,大醉后曾问""此城中有妓女否?""曹安民将邹氏推荐给曹操.请问邹氏是谁的老婆?",张济
"古者至受聘成婚之期,各有定例:,诸侯半年,大夫一季,庶民一月.请问天子是多久?",一年
"曹性射瞎了夏侯敦的左眼,曹性却反被夏侯敦一枪刺死,请问这一枪刺在了什么位置?",面门
"""汉朝无起色,医国有称平,立誓除奸党,捐驱报圣明,极刑词愈烈,惨死气如生,十指林淋漓处,千秋仰异名""描述的是哪位人物?",吉平
连环计中，假传圣旨，把董卓从鹛邬传至京城的人是谁?,李肃
诸葛亮的叔父的名字是?,诸葛玄）
陶谦死前让谁去小沛请刘备?,陈登
陶谦死前向刘备推荐了谁?,孙乾
陶谦死前向刘备推荐了谁?,孙乾
三国时，书法家中的泰斗是谁?,钟繇
姜维在归降诸葛亮之前，是哪位太守的部下?,天水马遵
"渭水之战,与曹操的“分兵击之”的意见不谋而合的是谁?",徐晃
寿春三路诸侯进攻袁术，当时因下雨，曹操营中粮草运输遇到困难，士兵士气涣散，后来曹操杀了一名粮官，说是粮官私吞官粮，以此来提高士气，请问这位蒙冤的粮官是谁?,
寿春三路诸侯进攻袁术，当时因下雨，曹操营中粮草运输遇到困难，士兵士气涣散，后来曹操杀了一名粮官，说是粮官私吞官粮，以此来提高士气，请问这位蒙冤的粮官是谁?,
魏延是被谁杀死的?,马岱
蜀国发兵南蛮时，蜀军误喝了毒泉水，最后是诸葛亮求到了谁才帮蜀军解困?,孟节
诸葛亮死后是谁接替了丞相之职?,蒋琬
司马懿死后，蜀国后期魏国和蜀国对战主要是谁于谁的比拼?,邓艾和姜维
刘备收马超的时候，是谁当的说客?,李恢
“葬于汉中定军山，就在山坡中挖一个坟，坟坑可装下棺材便行了。穿平常的衣服，不随葬器物”是谁生前留下的遗嘱?,诸葛亮
三国里被称为“火神夫人”的是哪位?,孟获老婆
"吴国孙权登基以后,谁担任了丞相的职位?",诸葛恪
“吾有上将潘凤，可斩华雄!”是十八路诸侯中的哪位说的?,冀州太守韩馥
"大丈夫当学卫青、霍去病,立功沙漠,长驱数十万众,纵横天下;何能作博士也.是曹操哪个儿子说的?",曹彰
司马懿之子司马师，字什么?,子元
是谁向刘备推荐了深居隆中的诸葛亮?,司马徽、徐庶
刘备“马跳檀溪”的那匹马是什么马?,的卢马
“身在曹营心在汉”这句古话中说得是谁?,关羽
"曾为“孙刘联合”付出巨大努力,并三次讨要荆州的东吴谋士是?",鲁肃
"周瑜为了向刘备讨还荆州,使用过三十六计中的哪一计呢?",假途灭国之计
关羽最喜爱夜读哪本书?,春秋
关羽“水淹七军”中七军的统帅大将是谁?,于禁
诸葛亮挥泪斩马谡的原因是?,失街亭
“威震逍遥津”的张辽是曹操手下的一员大将，但他在曹操之前是谁手下的大将?,吕布
"“卧龙、凤雏得一人可安天下”,其中“凤雏”指的是?",庞统
诸葛亮病死在哪里?,五丈原
"哪位大将陪同刘备江东相亲,娶了郡主孙尚香?",赵云
"“白衣渡江”,致使关羽大意失荆州，是谁策划的?",陆逊
"“勉从虎穴暂栖身,说破英雄惊煞人.巧将闻雷来掩饰，随机应变信如神。”这首诗说的是《三国演义》中刘备和曹操的一段故事。这个故事是?",青梅煮酒论英雄
在长坂坡一战中，刘备的哪位夫人跳井自杀?,糜夫人
"东风不与周郎便,铜雀春深锁二乔中二乔各嫁给了哪位将领?",大乔-孙策，小乔-周瑜
"曹操的儿子中,哪个不是卞夫人所生?",曹昂
"江贼出生,有东吴第一武将之称的吴国将军是?",甘宁
孔明的发明”木牛流马”是用来干嘛的?,"搬运机器,运粮用"
三国时期的蜀汉属于哪个州?,江州
陪马腾一起挂掉的是?,马休、马铁
关羽原字什么?,长生
关羽过五关斩六将，斩的最后一将是谁?,秦琪
小说中描述刘备的身高是?,七尺五寸
"孙权守宣城时,曾被山贼攻破城池,谁当时勇猛的救了孙权?",周泰
"吕布辕门射戟,戟距离中军多远?",一百五十步
何人于濮阳大破曹,操军?
关羽所使”青龙偃月刀“又名什么?,冷艳锯
司马懿祖籍哪里?,温县
魏延生命中的最后一句话?,谁敢杀我
谁是杀曹髦的直接凶手?,成济
袁术手下大将纪灵惯用的兵器?,三尖两刃刀
"司马懿和曹爽夺权时,他的官职是什么?",太尉
"马超杀王方,生擒李蒙时多大?",十七岁
"""为将而不通天文,不识地利,不知奇门,不晓阴阳,不看阵图,不明兵势,是庸才也.""是诸葛亮和谁言论时提出的为将标准?",鲁肃
许褚投降曹时与谁交过手?,典韦
刘备进位汉中王时关羽被封为什么?,前将军
"在曹魏与东吴征战时,曾有一位将军令东吴将士闻名丧胆,就连小孩子夜里听说这位将军都不敢啼哭了,请问是哪一位将军?",张辽
刘备死时几岁?,63岁
"""龙岂池中物,乘雷欲上天.""出自谁之手?",蔡瑁
"曹操煮酒论英雄时,讥讽谁为""守戶之犬""?",刘璋
"孙策上神亭岭,一共带了多少人?",12骑
"周瑜攻打南郡时,孙权在何处与曹军作战?",合肥
孔明第一气周瑜在哪里?,南郡
刘胜是孝景皇帝第几个儿子?,第七子
官渡之战中，谁与张辽战得不分上下，使曹操暗暗称奇?,张邰
煮酒论英雄中曹操对谁的评价是冢中枯骨?,袁术
正史中，蜀国与魏延最为不和睦的人是谁?,杨仪
三国中寿命最长的武将,文官是哪一位?
关彝是谁的儿子?,关兴
谁向刘备献图帮助其入川?,张松
"""滚滚长江东逝水，浪花淘尽英雄……""的词牌名是?","临江仙,作者杨慎"
隆中对时诸葛亮曾给刘备看过一张地图，这张图是什么?,西川五十四州之图
"请问""孙坚孙策起江左""的后一句是什么?",袁绍袁术兴河梁
"孙权与周泰守宣城,周泰那仗身受重伤,虽然被华佗治好,大家知道他身中几枪吗?",12枪
"赵云在曹营杀死了一对兄弟,叫钟缙和钟绅,他们谁先死的?",钟缙
太史慈大战小霸王孙策，是在什么地方?,神亭岭
"蜀国南中叛乱,未参与叛乱的是谁?",永昌太守王伉
"被称为""河北四庭柱""的是谁?","颜良,文丑,张邰,高览"
"""周瑜，鲁肃，吕蒙，陆逊""被称为什么?",东吴四英将
三国演义的毛本是指的谁?,毛宗岗
"""运谋如范蠡，决策似陈平""说的是曹军哪位谋士?",郭嘉
"""不从金石论，空负栋梁材""叹的是哪位谋士?",陈宫
"""后人休把留侯比,临没无颜见汉君。""说的是哪位谋士?",荀彧
"""霸业成时为帝王,不成且作富家郎.谁知天意无私曲，郿坞方成已灭亡。""说的是哪位诸侯?",董卓
"""座上客常满，樽中酒不空""说的是哪位?",孔融
"""羊质虎皮功不就，鸡毛凤胆事难成""叹的是哪位诸侯?",袁绍
"演义中""一夜北风寒，万里彤云厚，长空雪乱飘，改尽江山旧""是谁的诗句?",黄承彦
"""丈夫处世兮立功名;立功名兮慰平生。慰平生兮吾将醉;吾将醉兮发狂吟!""是谁所做之歌?",周瑜
"""大丈夫生于乱世，当带三尺剑立不世之功;今所志未遂，奈何死乎!""是哪位武将临终遗言?",太史慈
"""天水夸英俊，凉州产异才""说的是哪位武将?",姜维
"被曹操称赞""将军真有周亚夫之风矣!""、""虽古之名将，何以加兹""、""吾之樊哙""、""古之恶来""的分别是哪几位武将?","徐晃,于禁,许禇,典韦"
谁建议钟会先攻涪城再下剑阁，决定了蜀国灭亡的一役?,邓艾
姜维怎么死的?,自杀
许攸是被谁杀死的?,许禇
"三国演义中实际带有""三""的回目一共有多少回?",15回
据三国演义原文所述赵云安葬在哪里?,成都锦屏山
三国演义中袁绍之妻姓什么?,刘氏
"""有云气一片，其色青紫，圆如车盖，覆于其室，终日不散。""是描述三国中哪个人物出生时的情景?",曹丕
传说中谁赐予张角《太平要术》?,南华老仙
首领自称阳明皇帝，请问他的真名叫什么?是被谁镇压的?,"许昌和其子许韶,孙坚"
荆州牧刘表是今天什么地方的人?,"山阳高平人,今山东微山人"
三国中还有一个同关羽一样千里走单骑的精彩故事，知道故事的主人公是谁吗?,廖化
夏侯霸的字是什么?,仲权
赵云病逝后追谥为什么侯?,顺平侯
刘禅的长子叫什么?,睿
张飞鞭打督邮之后，刘关张兄弟三人投奔于何处?,代州刘恢
在历史上，貂蝉可能姓什么?,任红昌
蒋干是在什么地方遇到了庞统?,古庙里
